id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
1,Apa itu BAAK?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2,Apa itu BAAK ya?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3,Apa yang dimaksud dengan BAAK?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4,Apa tugas utama baak?,"baak bertugas mengelola krs, khs, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
5,Apa tugas utama BAAK?,"baak bertugas mengelola krs, khs, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
6,apa tugas utama baak?,"baak bertugas mengelola krs, khs, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7,Di mana layanan akademik diproses?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8,dimana layanan akademik diproses?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9,Dimana layanan akademik diproses ya?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
10,Apa itu krs?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
11,Apa itu KRS?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
12,Definisi dari KRS?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
13,Kapan pengisian krs dilakukan?,pengisian krs dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
14,Kapan pengisian KRS dilakukan?,pengisian krs dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
15,kapan pengisian krs dilakukan?,pengisian krs dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
16,Di mana mengisi KRS?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
17,Dimana mengisi KRS ya?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
18,Dimana mengisi KRS?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
19,Apakah KRS wajib divalidasi ya?,"ya, krs wajib divalidasi oleh dosen pembimbing akademik.",Akademik,Setiap Semester,Panduan BAAK
20,apakah krs wajib divalidasi?,"ya, krs wajib divalidasi oleh dosen pembimbing akademik.",Akademik,Setiap Semester,Panduan BAAK
21,Apakah KRS wajib divalidasi?,"ya, krs wajib divalidasi oleh dosen pembimbing akademik.",Akademik,Setiap Semester,Panduan BAAK
22,Apa akibat KRS tidak divalidasi?,mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
23,apa akibat krs tidak divalidasi?,mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
24,Apa akibat krs tidak divalidasi?,mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
25,apa itu semester antara?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
26,Apa itu Semester Antara ya?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
27,Apa yang dimaksud dengan Semester Antara?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
28,Berapa maksimal SKS Semester Antara ya?,maksimal sks semester antara adalah 9 sks.,Akademik,Antar Semester,Panduan BAAK
29,Berapa maksimal sks semester antara?,maksimal sks semester antara adalah 9 sks.,Akademik,Antar Semester,Panduan BAAK
30,berapa maksimal sks semester antara?,maksimal sks semester antara adalah 9 sks.,Akademik,Antar Semester,Panduan BAAK
31,Apakah Semester Antara wajib?,semester antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
32,apakah semester antara wajib?,semester antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
33,Apakah semester antara wajib?,semester antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
34,Apa itu cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
35,Apa yang dimaksud dengan cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
36,Definisi dari cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
37,Berapa lama cuti akademik?,cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
38,berapa lama cuti akademik?,cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
39,Berapa lama cuti akademik ya?,cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
40,bagaimana cara mengajukan cuti?,mahasiswa mengisi formulir cuti dan mengajukannya ke baak.,Akademik,Berlaku Sepanjang Tahun,BAAK
41,Gimana cara mengajukan cuti?,mahasiswa mengisi formulir cuti dan mengajukannya ke baak.,Akademik,Berlaku Sepanjang Tahun,BAAK
42,Bagaimana cara mengajukan cuti?,mahasiswa mengisi formulir cuti dan mengajukannya ke baak.,Akademik,Berlaku Sepanjang Tahun,BAAK
43,Apa syarat mengikuti UTS?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
44,apa syarat mengikuti uts?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
45,Apa syarat mengikuti UTS ya?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
46,Apa syarat mengikuti uas?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
47,apa syarat mengikuti uas?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
48,Apa syarat mengikuti UAS ya?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
49,kapan uts dilaksanakan?,uts dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
50,Kapan UTS dilaksanakan?,uts dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
51,Waktu UTS dilaksanakan?,uts dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
52,kapan uas dilaksanakan?,uas dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
53,Waktu UAS dilaksanakan?,uas dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
54,Kapan UAS dilaksanakan?,uas dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
55,Apa itu KHS ya?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
56,Apa itu khs?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
57,apa itu khs?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
58,Waktu KHS dapat dilihat?,khs dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59,kapan khs dapat dilihat?,khs dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60,Kapan KHS dapat dilihat?,khs dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
